,Unnamed: 0,Name,username,twitter_link,text,likes,retweets,replies,followers,engagement_rate
363,363,Reuters,Reuters,https://twitter.com/Reuters/status/1696537311998349345#m,"Medicines on the list include diabetes drug Januvia, Eliquis rival Xarelto, and leukemia treatment Imbruvica. Other drugs include rheumatoid arthritis drug Enbrel, diabetes drug Jardiance, arthritis and Crohn's disease medicine Stelara and insulin from Novo Nordisk 3/7",5,3,1,25700000,3.501945525291829e-05
369,369,Reuters,Reuters,https://twitter.com/Reuters/status/1696533927861850403#m,The US government released a list of 10 prescription medicines that will be subject to the first-ever price negotiations by the Medicare health program. These include diabetes drug Januvia and leukemia treatment Imbruvica https://reut.rs/3YSi1n2,22,9,2,25700000,0.0001284046692607004
421,421,USA TODAY,USATODAY,https://twitter.com/USATODAY/status/1696497937612775806#m,"The drugs to be negotiated include Eliquis, Jardiance, Xarelto, Januvia, Farxiga, Entresto, Enbrel, Imbruvica , Stelara and versions of Fiasp. https://www.usatoday.com/story/news/health/2023/08/29/biden-eliquis-jardiance-xarelto-drug-price-negotiations/70705825007/",21,14,11,5000000,0.00092
39,39,HHS.gov,HHSGov,https://twitter.com/HHSGov/status/1721573331357323459#m,UP NEXT on our patient-focused listening sessions: IMBRUVICA  Want to learn more about our Medicare Drug Price Negotiation Program and listening sessions? Visit: https://go.cms.gov/3QKtcMa,3,2,1,1400000,0.00042857142857142855
38,38,HHS.gov,HHSGov,https://twitter.com/HHSGov/status/1721573337065767134#m,"IMBRUVICA had a 36% increase in Part D average annual out-of-pocket spending from 2018-2022, but thanks to @POTUS' #InflationReductionAct we are negotiating to lower prices & improve access to care for people with #Medicare.   Learn more about Imbruvica: https://bit.ly/3MrJI0L",2,1,0,1400000,0.00021428571428571427
353,353,APHA,PublicHealth,https://twitter.com/PublicHealth/status/1696551864978849986#m,"Medicare will begin negotiating prices on 10 prescription drugs this year — including Eliquis, Jardiance, Xarelto, Imbruvica — that account for $50.5 billion in annual spending https://www.hhs.gov/about/news/2023/08/29/hhs-selects-the-first-drugs-for-medicare-drug-price-negotiation.html",1,1,0,505700,0.0003954913980620921
364,364,Public Citizen,Public_Citizen,https://twitter.com/Public_Citizen/status/1696539414204232155#m,"Big Pharma is suing the government to block Medicare from negotiating drug prices.  Drugs that would be blocked include:  Jardiance, Januvia, Fiasp, & Farxiga for diabetes Entresto for heart disease Enbrel for arthritis & psoriasis Imbruvica for cancer  We can’t let that happen.",398,144,11,504100,0.10970045625867883
384,384,Austin Statesman,statesman,https://twitter.com/statesman/status/1696519322259066892#m,"The first drug prices targeted include Eliquis, Jardiance, Xarelto, Januvia, Farxiga, Entresto, Enbrel, Imbruvica, Stelara and versions of Fiasp. https://www.statesman.com/story/news/health/2023/08/29/biden-eliquis-jardiance-xarelto-drug-price-negotiations/70705825007/?utm_source=SND&utm_medium=Twitter&utm_campaign=statesman",3,1,1,335600,0.0014898688915375446
433,433,USA TODAY Health,USATODAYhealth,https://twitter.com/USATODAYhealth/status/1696494416226095269#m,"The drugs to be negotiated include Eliquis, Jardiance, Xarelto, Januvia, Farxiga, Entresto, Enbrel, Imbruvica , Stelara and versions of Fiasp. https://www.usatoday.com/story/news/health/2023/08/29/biden-eliquis-jardiance-xarelto-drug-price-negotiations/70705825007/",0,2,2,333100,0.0012008405884118883
608,608,Reuters Health,Reuters_Health,https://twitter.com/Reuters_Health/status/1644252450235269120#m,"AbbVie Inc and partner Johnson & Johnson intend to voluntarily withdraw the accelerated approvals of their Imbruvica drug in the U.S. for patients with certain types of blood cancer, the companies said on Thursday. reut.rs/3UfJeh4",3,1,0,260700,0.0015343306482546988
